generation,frames,population_size,survivors_at_end,lives_remaining,avg_fitness,best_fitness,worst_fitness,shots_fired,kills,enemy_escapes,player_deaths,wave_clears,level_failures,kill_per_shot,survival_reward_total,kill_reward_total,wave_clear_reward_total,shot_penalty_total,death_penalty_total,enemy_escape_penalty_total,level_fail_penalty_total
0,1052,10,0,3,-8.3223,1.722,-16.833,111,3,2,10,1,0,0.02703,17.997,30.0,9.0,-2.22,-126.0,-12.0,0.0
1,480,10,0,0,-10.9264,-8.64,-18.516,110,1,5,3,0,1,0.00909,12.936,10.0,0.0,-2.2,-54.0,-48.0,-28.0
2,1151,10,0,0,2.0341,22.313,-4.327,154,5,5,1,1,1,0.03247,33.021,66.0,27.0,-3.08,-9.0,-57.6,-36.0
3,1113,10,0,0,-5.8422,21.899,-18.809,114,3,5,6,1,1,0.02632,20.658,46.0,12.0,-2.28,-90.0,-28.8,-16.0
4,584,10,0,0,-6.3308,1.672,-18.036,52,3,5,1,0,1,0.05769,16.932,30.0,0.0,-1.04,-18.0,-55.2,-36.0
5,1148,10,0,0,2.708,21.924,-3.876,168,5,5,0,1,1,0.02976,34.44,66.0,30.0,-3.36,0.0,-60.0,-40.0
6,732,10,0,0,-7.2388,1.996,-17.226,109,3,5,2,0,1,0.02752,20.592,30.0,0.0,-2.18,-36.0,-52.8,-32.0
7,691,10,0,0,-9.3897,1.853,-21.325,97,1,5,2,0,1,0.01031,20.043,10.0,0.0,-1.94,-36.0,-54.0,-32.0
8,2374,10,0,2,-6.7814,1.45,-12.138,95,2,3,10,1,0,0.02105,24.486,20.0,3.0,-1.9,-99.0,-14.4,0.0
9,1190,10,0,0,0.0362,32.25,-16.591,188,4,5,2,1,1,0.02128,31.122,56.0,24.0,-3.76,-27.0,-48.0,-32.0
10,505,10,0,0,-7.595,1.315,-8.685,55,1,5,0,0,1,0.01818,15.15,10.0,0.0,-1.1,0.0,-60.0,-40.0
11,2888,10,0,0,-5.4269,37.004,-17.313,186,5,5,8,1,1,0.02688,38.451,66.0,21.0,-3.72,-126.0,-42.0,-8.0
12,1302,10,0,0,2.29,22.026,-3.974,295,5,5,1,1,1,0.01695,37.2,66.0,27.0,-5.9,-9.0,-56.4,-36.0
13,724,10,0,0,-6.967,1.692,-17.225,83,2,5,2,0,1,0.0241,18.99,20.0,0.0,-1.66,-27.0,-48.0,-32.0
