generation,frames,population_size,survivors_at_end,lives_remaining,avg_fitness,best_fitness,worst_fitness,shots_fired,kills,enemy_escapes,player_deaths,wave_clears,level_failures,kill_per_shot,survival_reward_total,kill_reward_total,wave_clear_reward_total,shot_penalty_total,death_penalty_total,enemy_escape_penalty_total,level_fail_penalty_total
0,530,10,0,0,-2.0455,5.25,-11.74,83,2,5,1,0,1,0.0241,51.96,16.0,0.0,-0.415,-13.0,-48.0,-27.0
1,1593,10,0,5,6.753,22.72,-3.43,150,7,0,10,1,0,0.04667,109.28,56.0,27.0,-0.75,-124.0,0.0,0.0
2,1393,10,0,0,11.6735,36.695,-8.605,245,10,5,5,1,1,0.04082,105.96,92.0,21.0,-1.225,-59.0,-27.0,-15.0
3,682,10,0,5,-0.127,6.09,-8.775,130,5,0,10,0,0,0.03846,53.38,40.0,0.0,-0.65,-94.0,0.0,0.0
4,1861,10,0,0,34.773,76.295,5.8,570,24,5,3,2,1,0.04211,175.58,216.0,57.0,-2.85,-33.0,-44.0,-21.0
5,2217,10,0,0,24.359,87.815,-9.405,424,21,5,7,2,1,0.04953,130.71,192.0,33.0,-2.12,-79.0,-22.0,-9.0
6,2453,10,0,0,27.961,96.92,-10.71,494,23,5,9,2,1,0.04656,150.08,208.0,42.0,-2.47,-105.0,-10.0,-3.0
7,2205,10,0,0,25.255,47.95,-9.4,498,19,5,9,2,1,0.03815,152.04,176.0,48.0,-2.49,-105.0,-13.0,-3.0
8,2427,10,0,1,12.417,55.355,-4.34,318,13,4,10,2,0,0.04088,106.76,116.0,30.0,-1.59,-106.0,-21.0,0.0
9,1198,10,0,4,-1.102,16.78,-9.965,170,5,1,10,1,0,0.02941,53.83,40.0,6.0,-0.85,-106.0,-4.0,0.0
10,2716,10,0,3,17.494,45.53,-10.26,418,16,2,10,2,0,0.03828,125.03,140.0,36.0,-2.09,-112.0,-12.0,0.0
11,1327,10,0,0,8.3475,42.275,-10.85,267,9,5,6,1,1,0.03371,80.81,84.0,18.0,-1.335,-66.0,-20.0,-12.0
12,1463,10,0,0,12.6405,51.715,-10.345,267,12,5,7,1,1,0.04494,98.74,108.0,21.0,-1.335,-73.0,-18.0,-9.0
13,1368,10,0,0,15.3885,52.155,-10.87,315,14,5,5,1,1,0.04444,102.46,124.0,24.0,-1.575,-53.0,-27.0,-15.0
14,1455,10,0,0,15.436,37.315,9.305,412,10,5,3,1,1,0.02427,133.42,92.0,30.0,-2.06,-39.0,-39.0,-21.0
15,1715,10,0,2,18.5125,53.975,1.645,435,16,3,10,2,0,0.03678,139.3,140.0,42.0,-2.175,-118.0,-16.0,0.0
16,2544,10,0,0,58.92,114.015,6.735,690,44,5,4,3,1,0.06377,215.65,388.0,75.0,-3.45,-34.0,-34.0,-18.0
0,13853,10,0,2,0.21383,11.055,-8.17667,223,17,91,14,0,16,0.07623,138.53,136.0,0.0,-1.115,-128.0,-91.0,-48.0
1,14822,10,0,1,0.589,10.37,-5.83,310,19,114,11,1,19,0.06129,148.22,152.0,3.0,-1.55,-113.0,-114.0,-57.0
2,15426,10,0,2,8.41717,20.9,0.345,349,51,86,18,2,12,0.14613,154.26,408.0,6.0,-1.745,-192.0,-86.0,-36.0
3,13155,10,0,2,-0.42183,11.46833,-8.63667,241,21,81,17,0,13,0.08714,131.55,168.0,0.0,-1.205,-191.0,-81.0,-39.0
4,15115,10,0,1,5.19917,14.34333,-5.53667,435,36,107,12,0,18,0.08276,151.15,288.0,0.0,-2.175,-120.0,-107.0,-54.0
5,16149,10,0,2,6.80117,23.20333,-5.61167,491,43,94,16,3,14,0.08758,161.49,344.0,9.0,-2.455,-172.0,-94.0,-42.0
6,13936,10,0,3,1.72333,15.21667,-6.63333,332,28,71,20,1,10,0.08434,139.36,224.0,3.0,-1.66,-212.0,-71.0,-30.0
7,15170,10,0,1,4.05783,10.08833,-4.02,393,34,109,14,1,16,0.08651,151.7,272.0,3.0,-1.965,-146.0,-109.0,-48.0
8,12881,10,0,3,0.48267,13.81167,-6.33833,266,22,73,21,0,9,0.08271,128.81,176.0,0.0,-1.33,-189.0,-73.0,-27.0
